group,group_label,observable,contact_mode,contact_label,acf_kind,event_unit,chain_selection,chain_filter_method,time_ps,acf_mean,acf_std,t_1e_ps,t_01_ps,contact_probability,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,0.0,1.0,1.4332917616497527e-16,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,1000.0,0.5181702877688232,0.003437598862787893,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,2000.0,0.4279726199375396,0.0025896853547374495,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,3000.0,0.37532413903552847,0.004130223100318131,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,4000.0,0.33894816307523473,0.0026472974394505153,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,5000.0,0.31095882777280953,0.003197772567638946,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,6000.0,0.2892559759625164,0.0032488926725605257,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,7000.0,0.2723462181374999,0.0026625849302106654,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,8000.0,0.2577253604363568,0.0021087389591984626,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,9000.0,0.2447950499936634,0.0025663154075467125,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,10000.0,0.2335130095342248,0.0026050368489265157,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,11000.0,0.22477882317201958,0.0031167149100659584,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,12000.0,0.21615668534550378,0.0023978369130582887,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,13000.0,0.20823395582441404,0.0028761559741535144,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,14000.0,0.20184656285353406,0.0020953816469833635,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,15000.0,0.19618105594518753,0.002279141650725367,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,16000.0,0.18990756789252572,0.0026588583274509557,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,17000.0,0.18411355616627212,0.0032518992100571856,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,18000.0,0.1791619955407013,0.003023831598720067,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,19000.0,0.17477404414709916,0.0024876228509244573,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,20000.0,0.1700731150660272,0.0038013757798662155,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,21000.0,0.16650973143306483,0.0031676187903629267,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,22000.0,0.16239602218902618,0.0028762631774856837,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,23000.0,0.15952879060407157,0.002649507045371914,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,24000.0,0.15599660397284665,0.002136671616702762,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,25000.0,0.15418305003882415,0.002327443272631604,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,26000.0,0.15025706732183944,0.0020523502128636175,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,27000.0,0.14881284586418805,0.0012213700404443439,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,28000.0,0.14655758021452883,0.0016905442182550575,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,29000.0,0.1442814497984721,0.002173317977393045,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,30000.0,0.141394735814759,0.001342427494961823,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,31000.0,0.13953677138502416,0.0004800207433029466,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,32000.0,0.13706244776695367,0.0017846631525552574,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,33000.0,0.1350317265766602,0.001519217975675905,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,34000.0,0.13355190234506112,0.0014534054074490392,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,35000.0,0.13150849632048167,0.0012209521845435475,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,36000.0,0.1293466038855161,0.0006938159195725134,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,37000.0,0.12783740737599258,0.0006549818504636888,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,38000.0,0.1258361852183223,0.0005920517405448157,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,39000.0,0.12423669730435359,0.0007733590880708474,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,40000.0,0.12242301151325913,0.0013235675208995823,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,41000.0,0.12121436011681509,0.0010495612670644696,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,42000.0,0.11851550958228652,0.0009091386660773982,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,43000.0,0.11781435765356957,0.0009974728315242307,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,44000.0,0.11627800188627917,0.0016001532102974834,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,45000.0,0.11483362182828927,0.0013299564692922572,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,46000.0,0.11419567013308396,0.0014792975689576055,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,47000.0,0.11296550712012664,0.0018784184888621018,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,48000.0,0.11116387310805854,0.0025920744824667803,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,49000.0,0.10921113556804257,0.0019147985158243545,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,50000.0,0.10885202013442709,0.001975572557124303,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,51000.0,0.10775600171427069,0.0017993956668238044,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,52000.0,0.1067543766652322,0.0015272543381723153,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,53000.0,0.10572648002065166,0.002310478755916057,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,54000.0,0.10450453350562201,0.0021316226533323428,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,55000.0,0.10410782320789864,0.001962246558504885,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,56000.0,0.10339649970103952,0.0021838006893436543,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,57000.0,0.10231414587155258,0.002114997818897984,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,58000.0,0.10156059964836352,0.0019319753008532569,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,59000.0,0.10176833388941715,0.0019037368903779854,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,60000.0,0.10098326684767896,0.002316460211723505,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,61000.0,0.09955292700126141,0.0018951229950913702,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,62000.0,0.09902890323275053,0.00253269280440271,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,63000.0,0.09901989019937164,0.0016306737791427356,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,64000.0,0.09804096603332556,0.0017909775639564994,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,65000.0,0.09660369668283335,0.0012183049847467966,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,66000.0,0.0956895894501517,0.0010629130788857616,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,67000.0,0.0950273512315478,0.0007510347209758374,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,68000.0,0.09439107308675265,0.0013248698665155182,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,69000.0,0.09405394048674214,0.001882125809182529,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,70000.0,0.09264297173627241,0.0021260947619674998,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,71000.0,0.09248937025263576,0.0024924303818037743,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,72000.0,0.0918853929764496,0.002684490974210256,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,73000.0,0.09100535369835383,0.002156109624060621,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,74000.0,0.08976675892133451,0.002385830750733676,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,75000.0,0.08887643028216528,0.0026159498398537063,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,76000.0,0.0886550300895409,0.002636753799249919,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,Nter_antisymmetric_BB_contact_fluctuation_acf,antisymmetric_nac_bb,Any 1 antisymmetric N-ter BB,fluctuation,chain_pair,all,largest_cluster,77000.0,0.08745913823331324,0.0023965246357481643,3204.6597422489067,60687.435821732615,0.00653292288762888,0.8,8.0,100.0,1,60,3
