group,group_label,observable,contact_mode,contact_label,event_unit,chain_selection,chain_filter_method,time_ps,survival_mean,survival_std,t_1e_ps,t_01_ps,mean_lifetime_ps,contact_cutoff_nm,cluster_dist_cutoff_A,radius_limit_A,nac_start,nac_end,triplet_size
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,0.0,1.0,0.0,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,1000.0,0.2277792406471224,0.004524929710070362,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,2000.0,0.08011616008635897,0.0021901873669111756,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,3000.0,0.03458918718362742,0.0009704256750346281,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,4000.0,0.01619413041146986,0.0013764916033968402,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,5000.0,0.008809120677715542,0.0012094125635612714,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,6000.0,0.0047122854102292265,0.00045324383971849524,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,7000.0,0.00252559732239238,0.0005674897100420095,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,8000.0,0.0014742273888909664,0.000281318370849686,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,9000.0,0.0009847428275848006,9.054589929520437e-05,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
G1_Wcluster_alhx0,$\mathrm{IDP}_{50}$,NAC_triplet_antisymmetric_BB_contact_survival,triplet_antisymmetric_nac_bb,3 consecutive antisymmetric NAC BB,chain_pair,all,largest_cluster,10000.0,0.0005558591796521102,0.0002464428346234154,818.5749362116034,1865.3431864069853,1378.8211285813495,0.8,8.0,100.0,61,95,3
